takt;q1;q2;q1p;q2p
42;-1.000000;-1.000000;14.722917;-14.722917
43;-1.000000;-1.000000;15.062727;-15.062727
44;-1.000000;-1.000000;15.402360;-15.402360
45;-1.000000;-1.000000;15.741811;-15.741811
46;-1.000000;-1.000000;16.081076;-16.081076
47;-1.000000;-1.000000;16.420151;-16.420151
48;-1.000000;-1.000000;16.759031;-16.759031
49;-1.000000;-1.000000;17.097715;-17.097715
50;-1.000000;-1.000000;17.436197;-17.436197
51;-1.000000;-1.000000;17.774471;-17.774471
52;-1.000000;-1.000000;18.112537;-18.112537
53;-1.000000;-1.000000;18.450390;-18.450390
54;-1.000000;-1.000000;18.788023;-18.788023
55;-1.000000;-1.000000;19.125435;-19.125435
56;-1.000000;-1.000000;19.462622;-19.462622
57;-1.000000;-1.000000;19.799578;-19.799578
58;-1.000000;-1.000000;20.136299;-20.136299
59;-1.000000;-1.000000;20.472784;-20.472784
60;-1.000000;-1.000000;20.809027;-20.809027
61;-1.000000;-1.000000;21.145025;-21.145025
62;-1.000000;-1.000000;21.480772;-21.480772
63;-1.000000;-1.000000;21.816265;-21.816265
64;-1.000000;-1.000000;22.151503;-22.151503
65;-1.000000;-1.000000;22.486477;-22.486477
66;-1.000000;-1.000000;22.821186;-22.821186
67;-1.000000;-1.000000;23.155624;-23.155624
68;-1.000000;-1.000000;23.489790;-23.489790
69;-1.000000;-1.000000;23.823679;-23.823679
70;-1.000000;-1.000000;24.157288;-24.157288
71;-1.000000;-1.000000;24.490608;-24.490608
72;-1.000000;-1.000000;24.823641;-24.823641
73;-1.000000;-1.000000;25.156380;-25.156380
74;-1.000000;-1.000000;25.488821;-25.488821
75;-1.000000;-1.000000;25.820961;-25.820961
76;-1.000000;-1.000000;26.152796;-26.152796
77;-1.000000;-1.000000;26.484324;-26.484324
78;-1.000000;-1.000000;26.815536;-26.815536
79;-1.000000;-1.000000;27.146433;-27.146433
80;-1.000000;-1.000000;27.477011;-27.477011
81;-1.000000;-1.000000;27.807262;-27.807262
82;-1.000000;-1.000000;28.137186;-28.137186
83;-1.000000;-1.000000;28.466778;-28.466778
84;-1.000000;-1.000000;28.796032;-28.796032
85;-1.000000;-1.000000;29.124947;-29.124947
86;-1.000000;-1.000000;29.453518;-29.453518
87;-1.000000;-1.000000;29.781742;-29.781742
88;-1.000000;-1.000000;30.109613;-30.109613
89;-1.000000;-1.000000;30.437130;-30.437130
90;-1.000000;-1.000000;30.764286;-30.764286
91;-1.000000;-1.000000;31.091080;-31.091080
92;-1.000000;-1.000000;31.417505;-31.417505
93;-1.000000;-1.000000;31.743561;-31.743561
94;-1.000000;-1.000000;32.069241;-32.069241
95;-1.000000;-1.000000;32.394543;-32.394543
96;-1.000000;-1.000000;32.719463;-32.719463
97;-1.000000;-1.000000;33.043995;-33.043995
98;-1.000000;-1.000000;33.368137;-33.368137
99;-1.000000;-1.000000;33.691887;-33.691887
100;-1.000000;-1.000000;34.015236;-34.015236
101;-1.000000;-1.000000;34.338184;-34.338184
102;-1.000000;-1.000000;34.660728;-34.660728
103;-1.000000;-1.000000;34.982864;-34.982864
104;-1.000000;-1.000000;35.304585;-35.304585
105;-1.000000;-1.000000;35.625889;-35.625889
106;-1.000000;-1.000000;35.946770;-35.946770
107;-1.000000;-1.000000;36.267231;-36.267231
108;-1.000000;-1.000000;36.587261;-36.587261
109;-1.000000;-1.000000;36.906860;-36.906860
110;-1.000000;-1.000000;37.226021;-37.226021
111;-1.000000;-1.000000;37.544746;-37.544746
112;-1.000000;-1.000000;37.863026;-37.863026
113;-1.000000;-1.000000;38.180859;-38.180859
114;-1.000000;-1.000000;38.498241;-38.498241
115;-1.000000;-1.000000;38.815166;-38.815166
116;-1.000000;-1.000000;39.131634;-39.131634
117;-1.000000;-1.000000;39.447643;-39.447643
118;-1.000000;-1.000000;39.763184;-39.763184
119;-1.000000;-1.000000;40.078255;-40.078255
120;-1.000000;-1.000000;40.392853;-40.392853
121;-1.000000;-1.000000;40.706974;-40.706974
122;-1.000000;-1.000000;41.020615;-41.020615
123;-1.000000;-1.000000;41.333771;-41.333771
124;-1.000000;-1.000000;41.646439;-41.646439
125;-1.000000;-1.000000;41.958614;-41.958614
126;-1.000000;-1.000000;42.270294;-42.270294
127;-1.000000;-1.000000;42.581474;-42.581474
128;-1.000000;-1.000000;42.892155;-42.892155
129;-1.000000;-1.000000;43.202324;-43.202324
130;-1.000000;-1.000000;43.511986;-43.511986
131;-1.000000;-1.000000;43.821136;-43.821136
132;-1.000000;-1.000000;44.129765;-44.129765
133;-1.000000;-1.000000;44.437874;-44.437874
134;-1.000000;-1.000000;44.745461;-44.745461
135;-1.000000;-1.000000;45.052517;-45.052517
136;-1.000000;-1.000000;45.359039;-45.359039
137;-1.000000;-1.000000;45.665028;-45.665028
138;-1.000000;-1.000000;45.970478;-45.970478
139;-1.000000;-1.000000;46.275383;-46.275383
140;-1.000000;-1.000000;46.579746;-46.579746
141;-1.000000;-1.000000;46.883553;-46.883553
142;-1.000000;-1.000000;47.186810;-47.186810
143;-1.000000;-1.000000;47.489510;-47.489510
144;-1.000000;-1.000000;47.791649;-47.791649
145;-1.000000;-1.000000;48.093224;-48.093224
146;-1.000000;-1.000000;48.394234;-48.394234
147;-1.000000;-1.000000;48.694672;-48.694672
148;-1.000000;-1.000000;48.994534;-48.994534
149;-1.000000;-1.000000;49.293816;-49.293816
150;-1.000000;-1.000000;49.592518;-49.592518
151;-1.000000;-1.000000;49.890633;-49.890633
152;-1.000000;-1.000000;50.188160;-50.188160
153;-1.000000;-1.000000;50.485092;-50.485092
154;-1.000000;-1.000000;50.781429;-50.781429
155;-1.000000;-1.000000;51.077168;-51.077168
156;-1.000000;-1.000000;51.372303;-51.372303
157;-1.000000;-1.000000;51.666832;-51.666832
158;-1.000000;-1.000000;51.960751;-51.960751
159;-1.000000;-1.000000;52.254051;-52.254051
160;-1.000000;-1.000000;52.546741;-52.546741
161;-1.000000;-1.000000;52.838806;-52.838806
162;-1.000000;-1.000000;53.130249;-53.130249
163;-1.000000;-1.000000;53.421066;-53.421066
164;-1.000000;-1.000000;53.711250;-53.711250
165;-1.000000;-1.000000;54.000801;-54.000801
166;-1.000000;-1.000000;54.289711;-54.289711
167;-1.000000;-1.000000;54.577984;-54.577984
168;-1.000000;-1.000000;54.865612;-54.865612
169;-1.000000;-1.000000;55.152588;-55.152588
170;-1.000000;-1.000000;55.438915;-55.438915
171;-1.000000;-1.000000;55.724590;-55.724590
172;-1.000000;-1.000000;56.009605;-56.009605
173;-1.000000;-1.000000;56.293957;-56.293957
174;-1.000000;-1.000000;56.577648;-56.577648
175;-1.000000;-1.000000;56.860668;-56.860668
176;-1.000000;-1.000000;57.143017;-57.143017
177;-1.000000;-1.000000;57.424690;-57.424690
178;-1.000000;-1.000000;57.705688;-57.705688
179;-1.000000;-1.000000;57.986000;-57.986000
180;-1.000000;-1.000000;58.265633;-58.265633
181;-1.000000;-1.000000;58.544575;-58.544575
182;-1.000000;-1.000000;58.822823;-58.822823
183;-1.000000;-1.000000;59.100380;-59.100380
184;-1.000000;-1.000000;59.377235;-59.377235
185;-1.000000;-1.000000;59.653393;-59.653393
186;-1.000000;-1.000000;59.928844;-59.928844
187;-1.000000;-1.000000;60.203590;-60.203590
188;-1.000000;-1.000000;60.477623;-60.477623
189;-1.000000;-1.000000;60.750942;-60.750942
190;-1.000000;-1.000000;61.023544;-61.023544
191;-1.000000;-1.000000;61.295425;-61.295425
192;-1.000000;-1.000000;61.566586;-61.566586
193;-1.000000;-1.000000;61.837013;-61.837013
194;-1.000000;-1.000000;62.106716;-62.106716
